IdChien;IdSexe
  802025753  ;1
  500069127  ;0
  743141270  ;0
  743185967  ;0
  604021670  ;0
  743185979  ;1
  604150223  ;0
  238AVS  ;1
  712678707  ;1
  712339421  ;1
  712678597  ;1
  743185862  ;0
  600192550  ;0
  743185385  ;1
  731679311  ;0
  743185886  ;0
  743140960  ;0
  731559353  ;0
  743185870  ;1
  743185584  ;1
  743185925  ;0
  743186333  ;1
  743140974  ;1
  700256398  ;0
  201766694  ;0
  500751919  ;0
  810539115  ;0
  743185874  ;1
  743186067  ;0
  743186127  ;0
  100106783  ;0
  100107161  ;1
  100068026  ;1
  743185952  ;0
  743185918  ;1
  606191738  ;1
  606100377  ;1
  608177696  ;0
  743185920  ;1
  501507555  ;1
  811542404  ;0
  732642022  ;0
  016602813  ;0
  600230009  ;1
  501408688  ;0
  732539708  ;1
  743185953  ;0
  743186265  ;0
  743057463  ;0
  604321869  ;1
  743185950  ;0
  743185900  ;1
  743186061  ;0
  743186097  ;0
  732563697  ;0
  014752163  ;0
  743019910  ;1
  732642085  ;0
  608258509  ;0
  100068035  ;0
  743186111  ;0
  606205619  ;0
  731508984  ;0
  606201420  ;0
  743105688  ;0
  732340306  ;0
  600041407  ;0
  501387833  ;1
  606090147  ;0
  732192145  ;0
  500262918  ;0
  812084551  ;0
  731020202  ;1
  606558989  ;0
  732579116  ;0
  732578930  ;0
  811375114  ;1
  732448639  ;0
  732448688  ;0
  743141209  ;1
  802037260  ;0
  731452679  ;0
  501217962  ;0
  811381926  ;0
  606380724  ;0
  711025363  ;0
  732645334  ;0
  500048691  ;0
  732645184  ;0
  743104287  ;0
  731559255  ;1
  743019646  ;0
  732137576  ;0
  501631093  ;1
  732033195  ;0
  602218702  ;0
  501080512  ;1
  743105653  ;1
  743057283  ;0
  732192345  ;1
  732192089  ;0
  743105720  ;0
  712252412  ;0
  743141300  ;1
  500561547  ;0
  600112272  ;0
  743141181  ;1
  810673865  ;0
  732137799  ;0
  731701634  ;0
  732234302  ;0
  400009792  ;0
  500770405  ;1
  602842530  ;0
  732301158  ;1
  602824117  ;0
  606594777  ;1
  743186025  ;0
  604884959  ;1
  608298259  ;0
