idChien;idRace1;idRace2;Categorie;Lof
  802025753  ;81;;3;0
  500069127  ;81;;3;0
  743141270  ;81;;3;0
  743185967  ;64;;3;0
  604021670  ;61;;3;0
  743185979  ;69;;3;0
  604150223  ;43;;3;0
  238AVS  ;185;;3;0
  712678707  ;10;;3;0
  712339421  ;10;;3;0
  712678597  ;10;;3;0
  743185862  ;61;;3;0
  600192550  ;29;;3;0
  743185385  ;79;;3;0
  731679311  ;47;;3;0
  743185886  ;67;;3;0
  743140960  ;10;;3;0
  731559353  ;81;;3;0
  743185870  ;126;;3;0
  743185584  ;32;;3;0
  743185925  ;32;;3;0
  743186333  ;81;126;3;0
  743140974  ;10;;3;0
  700256398  ;10;;3;0
  201766694  ;80;;3;0
  500751919  ;43;;3;0
  810539115  ;51;;3;0
  743185874  ;47;;3;0
  743186067  ;38;;3;0
  743186127  ;12;;3;0
  100106783  ;60;;3;0
  100107161  ;12;;3;0
  100068026  ;37;;3;0
  743185952  ;47;;3;0
  743185918  ;47;;3;0
  606191738  ;12;;3;0
  606100377  ;101;;3;0
  608177696  ;41;;3;0
  743185920  ;12;;3;0
  501507555  ;12;;3;0
  811542404  ;81;;3;0
  732642022  ;47;;3;0
  016602813  ;47;;3;0
  600230009  ;81;;3;0
  501408688  ;12;;3;0
  732539708  ;61;;3;0
  743185953  ;61;;3;0
  743186265  ;61;;3;0
  743057463  ;81;;3;0
  604321869  ;7;;3;0
  743185950  ;12;;3;0
  743185900  ;30;;3;0
  743186061  ;12;;3;0
  743186097  ;101;;3;0
  732563697  ;10;;3;0
  014752163  ;57;;3;0
  743019910  ;12;;3;0
  732642085  ;81;12;3;0
  608258509  ;12;101;3;0
  100068035  ;12;;3;0
  743186111  ;29;86;3;0
  606205619  ;12;;3;0
  731508984  ;86;12;3;0
  606201420  ;12;;3;0
  743105688  ;12;;3;0
  732340306  ;13;101;3;0
  600041407  ;61;;3;0
  501387833  ;41;12;3;0
  606090147  ;3;;3;0
  732192145  ;81;;3;0
  500262918  ;19;;3;0
  812084551  ;57;;3;0
  731020202  ;123;;1;0
  606558989  ;123;;1;0
  732579116  ;123;;1;0
  732578930  ;123;;1;0
  811375114  ;4;;3;0
  732448639  ;123;;1;0
  732448688  ;123;;1;0
  743141209  ;123;;1;0
  802037260  ;154;;2;1
  731452679  ;154;;2;1
  501217962  ;123;;1;0
  811381926  ;154;;2;1
  606380724  ;154;;2;1
  711025363  ;123;;1;0
  732645334  ;123;;1;0
  500048691  ;152;;3;0
  732645184  ;123;;1;0
  743104287  ;123;;1;0
  731559255  ;158;;3;0
  743019646  ;101;;3;0
  732137576  ;72;;3;0
  501631093  ;59;;3;0
  732033195  ;61;;3;0
  602218702  ;165;;3;0
  501080512  ;18;;3;0
  743105653  ;12;;3;0
  743057283  ;12;;3;0
  732192345  ;79;;3;0
  732192089  ;18;;3;0
  743105720  ;81;12;3;0
  712252412  ;126;;3;0
  743141300  ;81;;3;0
  500561547  ;13;;3;1
  600112272  ;159;;3;0
  743141181  ;81;;3;0
  810673865  ;86;;3;0
  732137799  ;81;;3;0
  731701634  ;101;;3;0
  732234302  ;143;;3;0
  400009792  ;12;;3;0
  500770405  ;12;;3;0
  602842530  ;86;12;3;0
  732301158  ;86;158;3;0
  602824117  ;18;;3;0
  606594777  ;12;;3;0
  743186025  ;101;;3;0
  604884959  ;136;;3;1
  608298259  ;12;;3;0
