802025753;1;5;
500069127;2;1;
743141270;1;4;
743185967;5;;
604021670;1;4;
743185979;9;;
604150223;2;;
743565979;2;10;
712678707;9;;
712339421;9;;
712678597;9;;
743185862;4;1;
600192550;9;;
743185385;2;1;
731679311;4;1;
743185886;2;1;
743140960;9;;
731559353;1;4;
743185870;11;;
743185584;1;12;
743185925;4;1;
743186333;12;;
743140974;9;;
700256398;9;;
201766694;5;1;
500751919;13;;
810539115;2;10;
743185874;9;;
743186067;2;10;
743186127;11;;
100106783;1;2;
100107161;5;;
100068026;4;1;
743185952;2;10;
743185918;9;;
606191738;4;1;
606100377;14;5;2
608177696;12;;
743185920;2;12;
501507555;2;10;
811542404;1;2;
732642022;4;1;
16602813;2;1;
600230009;1;12;
501408688;5;6;
732539708;14;2;1
743185953;4;1;
743186265;4;1;
743057463;5;6;
604321869;9;;
743185950;12;;
743185900;2;1;
743186061;5;;
743186097;12;;
732563697;1;2;12
14752163;1;4;
743019910;2;10;
732642085;2;10;
608258509;5;;
100068035;2;4;
743186111;2;;
606205619;1;2;
731508984;2;1;
606201420;4;1;
743105688;15;2;1
732340306;5;2;
600041407;9;;
501387833;9;;
606090147;2;1;
732192145;2;1;
500262918;2;10;
812084551;5;1;
731020202;12;8;1
606558989;2;;
732579116;2;1;
732578930;2;1;
811375114;5;;
732448639;5;1;
732448688;2;1;
743141209;5;;
802037260;1;7;
731452679;5;1;
501217962;2;1;
811381926;2;1;
606380724;2;1;
711025363;7;1;
732645334;8;1;
500048691;2;1;
732645184;2;12;
743104287;4;1;
731559255;12;1;
743019646;14;5;1
732137576;2;;
501631093;2;1;
732033195;14;2;1
602218702;2;1;
501080512;5;6;2
743105653;2;;
743057283;2;;
732192345;1;4;2
732192089;5;6;
743105720;2;1;
712252412;2;;
743141300;2;;
500561547;2;10;
600112272;2;10;
743141181;2;1;
810673865;1;11;16
732137799;1;2;
731701634;6;2;
732234302;3;;
400009792;2;10;
500770405;12;;
602842530;4;1;
732301158;2;1;
602824117;5;;
606594777;9;;
743186025;6;;
604884959;2;10;
608298259;2;1;
